id,price,landSize,bedroom,bathroom,carspace,distPri,distSec,year,suburb,link,
1,1140000,400,4,2,2,1300,2850,2000,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-140441775,
2,1425000,420,4,2,4,1310,2770,2002,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-142928412,
3,1200000,406,5,3,2,1240,3170,2004,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-142024608,
4,525000,227,2,1,3,920,2870,1977,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-142438240,
5,530000,218,3,2,1,510,2870,1980,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-142287016,
6,1305000,506,3,2,2,1260,2560,1955,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141973996,
7,799000,317,3,2,2,1030,2520,2000,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141710072,
8,1425000,420,4,2,4,1310,2770,2002,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-142928412,
9,650000,265,4,2,2,1010,2500,1902,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141165820,
10,921000,539,3,1,2,1010,2170,1920,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141534484,
11,760000,502,3,1,3,680,2340,1927,Maylands,https://www.realestate.com.au/property/43-ferguson-st-maylands-wa-6051/,
12,1100000,670,4,2,2,1100,1830,1981,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-142065000,
13,1330000,401,5,2,2,1450,2900,2008,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-142149516,
14,470000,513,3,1,1,890,3100,1970,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141620128,
15,345000,144,2,1,1,1300,2950,1990,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141426452,
16,490250,196,2,1,1,1190,2080,1996,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-142130084,
17,890000,297,4,3,2,780,3070,2008,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141998916,
18,650000,235,3,2,1,1350,2930,1995,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141880300,
19,800000,251,4,2,2,760,2360,2007,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141642092,
20,1158000,557,3,1,2,1170,2240,1912,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141961724,
21,1095000,323,4,2,2,960,3230,1999,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141493168,
22,395000,86,2,1,1,1500,2280,1984,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-142031116,
23,715000,250,3,3,2,580,2830,2006,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141158520,
24,477000,180,2,1,3,1000,2040,1973,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141691252,
25,787000,322,2,1,2,880,2030,1937,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141844492,
26,1510000,471,4,2,2,1350,2660,2001,Maylands,https://www.realestate.com.au/sold/property-house-wa-maylands-141704048,
